T  	 	 mu 	 	 sigma 	 	 H 	 	 err
0.0860688	 	0.798799	 	0.537182	 	 -0.383608	 	0.00457851
0.0852081	 	0.809983	 	0.69263	 	 -0.403597	 	0.00555956
0.0843561	 	0.749126	 	0.775272	 	 -0.352541	 	0.00656875
0.0835125	 	0.922427	 	0.683698	 	 -0.329574	 	0.00628926
0.0826774	 	0.94708	 	0.696412	 	 -0.289515	 	0.0082782
0.0818506	 	0.904378	 	0.57722	 	 -0.394649	 	0.0033254
0.0810321	 	0.991633	 	0.608609	 	 -0.29379	 	0.00516485
0.0802218	 	0.891062	 	0.68833	 	 -0.375222	 	0.00494512
0.0794196	 	0.735028	 	0.725193	 	 -0.388006	 	0.00478221
0.0786254	 	0.725198	 	0.765058	 	 -0.348482	 	0.00627785
0.0778391	 	0.569566	 	0.759773	 	 -0.309012	 	0.00433233
0.0770607	 	0.676964	 	0.942936	 	 -0.167105	 	0.0135501
0.0762901	 	0.423614	 	1.06678	 	 -0.163391	 	0.0137368
0.0755272	 	0.416925	 	0.959533	 	 -0.264166	 	0.00718379
0.0747719	 	0.40327	 	0.898503	 	 -0.263658	 	0.00652474
0.0740242	 	0.637296	 	0.875637	 	 -0.261766	 	0.00917454
0.073284	 	0.475696	 	0.753819	 	 -0.239279	 	0.00434623
0.0725511	 	0.312991	 	0.931116	 	 -0.256631	 	0.00671924
0.0718256	 	0.218584	 	0.97302	 	 -0.253214	 	0.00772828
0.0711074	 	0.114754	 	1.09815	 	 -0.198932	 	0.0127942
0.0703963	 	0.442847	 	0.952992	 	 -0.263413	 	0.00670194
0.0696923	 	0.566157	 	0.725486	 	 -0.305118	 	0.00394169
0.0689954	 	0.574919	 	0.625613	 	 -0.286893	 	0.00332201
0.0683055	 	0.667439	 	0.734339	 	 -0.357881	 	0.0042988
0.0676224	 	0.7677	 	0.663759	 	 -0.430865	 	0.00311218
0.0669462	 	0.845217	 	0.649584	 	 -0.420365	 	0.00445715
0.0662767	 	0.782805	 	0.584366	 	 -0.43237	 	0.00309586
0.0656139	 	0.780169	 	0.560307	 	 -0.415502	 	0.00322508
0.0649578	 	0.865539	 	0.544521	 	 -0.37625	 	0.00471642
0.0643082	 	0.731828	 	0.532023	 	 -0.369029	 	0.00490276
0.0636651	 	0.728756	 	0.621332	 	 -0.422991	 	0.00232176
0.0630285	 	0.689192	 	0.699571	 	 -0.384373	 	0.00376933
0.0623982	 	0.73555	 	0.717852	 	 -0.385902	 	0.00437059
0.0617742	 	0.859954	 	0.642429	 	 -0.418264	 	0.00480886
0.0611565	 	0.852823	 	0.553133	 	 -0.397002	 	0.00417593
0.0605449	 	0.759848	 	0.64314	 	 -0.436363	 	0.00321994
0.0599395	 	0.811704	 	0.456215	 	 -0.111998	 	0.0082373
0.0593401	 	0.811472	 	0.568619	 	 -0.415554	 	0.00335355
0.0587467	 	0.746568	 	0.553119	 	 -0.400921	 	0.00393185
0.0581592	 	0.866452	 	0.639355	 	 -0.417575	 	0.00398177
0.0575776	 	0.957209	 	0.580535	 	 -0.338131	 	0.00388042
0.0570018	 	0.728261	 	0.610831	 	 -0.424838	 	0.00226409
0.0564318	 	0.742772	 	0.570253	 	 -0.422816	 	0.00284068
0.0558675	 	0.679249	 	0.666879	 	 -0.390734	 	0.00304915
0.0553088	 	0.71674	 	0.729881	 	 -0.38393	 	0.00473526
0.0547557	 	0.905849	 	0.660304	 	 -0.376143	 	0.00536267
0.0542082	 	0.843498	 	0.578703	 	 -0.420802	 	0.00354757
0.0536661	 	0.81417	 	0.774935	 	 -0.306116	 	0.00826627
0.0531294	 	0.830478	 	0.600144	 	 -0.441765	 	0.00253675
0.0525981	 	0.792035	 	0.606927	 	 -0.442244	 	0.00255684
0.0520722	 	0.743932	 	0.680708	 	 -0.414157	 	0.00344655
0.0515514	 	0.767187	 	0.585231	 	 -0.430845	 	0.00233594
0.0510359	 	0.784446	 	0.755803	 	 -0.339023	 	0.00653773
0.0505256	 	0.930203	 	0.658285	 	 -0.35625	 	0.00612378
0.0500203	 	0.799199	 	0.747807	 	 -0.360722	 	0.00650288
0.0495201	 	0.746079	 	0.574131	 	 -0.418805	 	0.00289265
0.0490249	 	0.804756	 	0.596974	 	 -0.442552	 	0.00242281
0.0485347	 	0.717553	 	0.747669	 	 -0.378741	 	0.00420927
0.0480493	 	0.880623	 	0.583414	 	 -0.409822	 	0.00333983
0.0475688	 	0.903953	 	0.505236	 	 -0.265043	 	0.00586811
0.0470931	 	0.770351	 	0.587225	 	 -0.432639	 	0.00225165
0.0466222	 	0.841926	 	0.635639	 	 -0.436022	 	0.00394529
0.046156	 	0.858694	 	0.643596	 	 -0.424446	 	0.0043072
0.0456944	 	0.792924	 	0.526557	 	 -0.36178	 	0.00502894
0.0452375	 	0.740411	 	0.614031	 	 -0.433578	 	0.00207388
0.0447851	 	0.772908	 	0.602929	 	 -0.438844	 	0.00262983
0.0443372	 	0.827854	 	0.615524	 	 -0.441889	 	0.00298536
0.0438939	 	0.765492	 	0.591058	 	 -0.436896	 	0.00227184
0.0434549	 	0.730516	 	0.703677	 	 -0.40617	 	0.00404646
0.0430204	 	0.869405	 	0.66492	 	 -0.415622	 	0.00447881
