#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         614    -3.84525    -3.88071  0.00631511
         615    -3.70903    -3.88043    0.006311
         616    -3.79139    -3.88028  0.00630241
         617    -3.76098    -3.88009  0.00629516
         618    -3.85914    -3.88005  0.00628507
         619    -3.80051    -3.87993  0.00627623
         620    -3.77393    -3.87975  0.00626843
         621     -3.7504    -3.87955   0.0062618
         622     -3.7615    -3.87936  0.00625461
         623    -3.72222     -3.8791  0.00624965
         624    -3.72527    -3.87886   0.0062445
         625    -3.80742    -3.87874  0.00623555
         626    -3.82956    -3.87867  0.00622609
         627    -3.82431    -3.87858  0.00621676
         628    -3.81941    -3.87848  0.00620757
         629    -3.90509    -3.87853  0.00619785
         630    -3.91907    -3.87859  0.00618835
         631    -3.86868    -3.87858  0.00617856
         632    -3.90119    -3.87861  0.00616889
         633    -3.92499    -3.87868  0.00615958
         634    -3.91422    -3.87874  0.00615011
         635    -3.86632    -3.87872  0.00614046
         636    -3.86195    -3.87869  0.00613086
         637    -3.83929    -3.87863  0.00612155
         638    -3.76653    -3.87846  0.00611448
         639     -3.7679    -3.87828  0.00610735
         640    -3.84346    -3.87823  0.00609805
         641    -3.78327    -3.87808  0.00609034
         642    -3.78571    -3.87794  0.00608255
         643    -3.78902     -3.8778  0.00607466
         644    -3.84703    -3.87775  0.00606542
         645    -3.82962    -3.87768  0.00605648
         646    -3.91185    -3.87773  0.00604733
         647    -3.95677    -3.87785  0.00603922
         648    -3.97626      -3.878  0.00603181
         649    -4.02223    -3.87823  0.00602661
         650    -3.93861    -3.87832  0.00601805
         651    -3.95242    -3.87843  0.00600988
         652    -3.83274    -3.87836  0.00600107
         653     -3.8664    -3.87834  0.00599191
         654    -3.78553     -3.8782  0.00598443
         655    -3.70838    -3.87794  0.00598091
         656    -3.82518    -3.87786  0.00597233
         657    -3.84355    -3.87781  0.00596347
         658    -3.81304    -3.87771  0.00595522
